Country,Category,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GRENADA,Stay-over Visitors – Caribbean,No.,"24,112","27,810","33,242","36,871","39,209","28,067","30,927","28,856","28,987","24,869","22,456","25,525","23,899","23,793","21,790","22,364","23,122","25,269","27,000","27,718",n.a.
GRENADA,Stay-over Visitors – UK,No.,"32,236","28,488","28,688","32,506","27,564","15,605","25,042","33,816","34,635","26,934","25,780","27,078","24,366","20,478","23,285","24,681","24,108","22,501","22,753","22,520",n.a.
GRENADA,Total Stay-over Visitors,No.,"126,661","121,485","121,074","133,724","127,919","98,548","118,653","129,088","123,770","102,429","98,399","106,998","105,231","105,984","125,224","132,547","135,306","146,376","160,975","162,902",n.a.
GRENADA,Total Visitor Expenditure - EC$m,EC$M,481.55,434.03,469.1,279.99,233.42,192.82,253.27,349.21,341.79,283.47,282.7,290.98,304.01,327.53,362.25,392.52,372.4,407.59,537.15,458,n.a.
GRENADA,Total Visitors,No.,"314,325","275,691","275,665","299,215","375,955","384,371","347,295","410,811","426,900","464,297","451,151","438,114","371,391","327,067","386,674","426,869","474,138","468,860","528,637","525,985",n.a.
GRENADA,Yacht passengers,No.,0,0,"8,975","6,695","5,019","4,353","4,733","4,232","4,730","16,187","17,026","19,580","20,060","22,163","24,650","22,115","20,353","21,993","24,281","24,611",n.a.
MONTSERRAT,Cruise Ship Passengers,No.,0,0,0,863,363,169,65,273,0,189,878,"1,114",840,364,184,"2,591","3,596","7,128","4,294","6,821",n.a.
MONTSERRAT,Excursionists,No.,"4,019","5,818","5,156","5,159","5,083","3,137","1,509",968,959,"1,024","1,726","1,997","2,606","1,519","1,749","1,740","1,165","1,903","2,197","2,100",n.a.
MONTSERRAT,Number of cruise ship calls,No.,0,0,0,14,5,2,1,3,0,1,4,3,5,4,2,11,22,12,15,19,n.a.
MONTSERRAT,Number of yacht calls,No.,n.a.,n.a.,n.a.,n.a.,201,269,309,311,354,295,216,352,327,346,368,474,450,361,407,445,n.a.
MONTSERRAT,Stay-over Visitors - Other Countries,No.,455,238,264,205,314,297,256,263,203,207,273,339,317,498,393,418,453,414,443,389,n.a.
MONTSERRAT,Stay-over Visitors - USA,No.,"1,561","1,652","1,950","1,601","2,083","2,034","2,153","2,109","1,922","1,606","1,665","1,526","1,950","1,775","2,041","2,326","2,446","2,473","2,411","2,641",n.a.
MONTSERRAT,Stay-over Visitors – Canada,No.,346,368,375,302,334,404,393,388,425,367,404,320,505,516,678,540,510,598,657,542,n.a.
MONTSERRAT,Stay-over Visitors – Caribbean,No.,"5,324","5,123","4,453","4,035","4,380","3,987","2,868","2,796","2,658","2,267","2,259","1,881","2,390","2,591","3,528","3,321","3,116","3,368","3,850","4,005",n.a.
MONTSERRAT,Stay-over Visitors – UK,No.,"2,592","2,419","2,581","2,271","3,021","2,968","2,321","2,190","2,152","1,864","1,380","1,329","2,148","1,821","2,164","2,339","2,317","2,686","2,871","2,825",n.a.
MONTSERRAT,Total Stay-over Visitors,No.,"10,278","9,800","9,623","8,414","10,132","9,690","7,991","7,746","7,360","6,311","5,981","5,395","7,310","7,201","8,804","8,944","8,842","9,539","10,232","10,402",n.a.
MONTSERRAT,Total Visitor Expenditure - EC$m,EC$M,24.18,22.89,23.4,19.78,24.82,24.25,20.91,20.1,19.02,16.38,15.88,14.01,18.97,18.33,22.2,22.88,22.92,25.36,26.76,26.81,n.a.
MONTSERRAT,Total Visitors,No.,"14,297","15,618","14,779","14,436","16,343","14,139","10,774","10,450","10,159","8,864","9,578","10,472","12,127","10,461","12,334","15,090","15,409","19,741","18,338","20,976",n.a.
MONTSERRAT,Yacht passengers,No.,n.a.,n.a.,n.a.,n.a.,765,"1,143","1,209","1,463","1,840","1,340",993,"1,966","1,371","1,377","1,597","1,815","1,806","1,171","1,615","1,653",n.a.
ST. KITTS AND NEVIS,Cruise Ship Passengers,No.,"164,611","252,172","167,230","146,317","254,535","215,351","203,075","249,323","400,916","450,553","515,787","605,407","526,305","591,972","701,444","909,107","932,230","1,067,412","1,167,647","1,056,869",n.a.
ST. KITTS AND NEVIS,Excursionists,No.,"3,211","3,662","3,853","4,054","3,045","4,309","4,514","5,177","3,920","3,718","3,547","3,682","3,230","3,958","3,463","3,829","3,954","3,960","4,289","5,060",n.a.
ST. KITTS AND NEVIS,Number of cruise ship calls,No.,348,358,245,270,373,244,261,242,232,235,293,337,298,301,372,440,422,523,540,473,n.a.
ST. KITTS AND NEVIS,Stay-over Visitors - Other Countries,No.,"2,452","2,225","2,180","3,312","3,541","12,671","12,769","5,068","4,493","3,352","3,934","4,555","4,887","5,156","6,559","6,781","7,196","7,016","6,194","6,779",n.a.
ST. KITTS AND NEVIS,Stay-over Visitors - USA,No.,"24,225","25,558","29,577","32,353","64,859","79,569","77,587","69,894","76,455","54,410","58,710","64,245","66,988","68,385","68,507","70,132","67,805","67,115","74,439","80,509",n.a.
ST. KITTS AND NEVIS,Stay-over Visitors – Canada,No.,"5,203","5,237","4,539","6,757","6,325","8,468","8,130","7,116","7,805","6,413","6,054","5,961","7,073","7,231","8,607","6,937","6,934","6,799","7,185","7,693",n.a.
ST. KITTS AND NEVIS,Stay-over Visitors – Caribbean,No.,"28,260","28,490","27,081","36,673","31,909","36,994","37,813","28,822","28,982","22,410","21,176","18,893","17,317","17,853","20,127","22,975","23,775","24,004","26,462","26,819",n.a.
ST. KITTS AND NEVIS,Stay-over Visitors – UK,No.,"12,673","8,726","5,621","11,467","11,004","11,149","11,148","12,162","9,970","6,496","8,455","8,047","7,975","8,512","9,136","10,046","10,055","9,927","8,616","9,389",n.a.
ST. KITTS AND NEVIS,Total Stay-over Visitors,No.,"72,813","70,236","68,998","90,562","117,638","148,851","147,447","123,062","127,705","93,081","98,329","101,701","104,240","107,137","112,936","116,871","115,765","114,861","122,896","131,189",n.a.
ST. KITTS AND NEVIS,Total Visitor Expenditure - EC$m,EC$M,157.8,167,154.26,203.45,277.14,327.12,355.44,336.92,297.17,225.41,241.74,291.43,295.05,314.72,339.09,361.34,374.66,431.01,528.56,545.65,n.a.
ST. KITTS AND NEVIS,Total Visitors,No.,"246,911","333,032","246,364","246,788","382,290","372,866","357,912","379,473","533,353","547,561","621,275","715,250","635,426","709,935","823,284","1,033,816","1,054,900","1,192,966","1,297,326","1,197,312",0
ST. KITTS AND NEVIS,Yacht passengers,No.,"6,276","6,962","6,283","5,855","7,072","4,355","2,876","1,911",812,209,"3,612","4,460","1,651","6,868","5,441","4,009","2,951","6,733","2,494","4,194",n.a.
SAINT LUCIA,Cruise Ship Passengers,No.,"443,551","489,912","387,180","393,262","481,279","394,364","359,573","610,163","619,680","699,306","670,043","630,304","571,894","594,118","641,452","677,394","587,421","669,217","760,306","786,743",n.a.
SAINT LUCIA,Excursionists,No.,"12,853","7,176","7,712","12,817","11,441","7,541","7,051","7,841","9,582","4,967","7,613","10,523","10,354","8,227","7,526","9,080","12,483","9,215","10,036","8,979",n.a.
SAINT LUCIA,Number of cruise ship calls,No.,389,378,245,262,328,258,267,314,315,397,375,351,336,341,386,387,381,423,370,372,n.a.
SAINT LUCIA,Number of yacht calls,No.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,243","4,647","4,236","4,280","6,120","8,446","7,862","7,890","7,793","9,118","10,090","9,917","10,709","9,913","9,618",n.a.
SAINT LUCIA,Stay-over Visitors - Other Countries,No.,"29,322","19,034","16,806","19,407","20,415","20,007","15,792","17,216","17,436","19,211","23,283","22,720","22,287","22,921","24,598","22,573","20,784","26,397","25,804","26,645",n.a.
SAINT LUCIA,Stay-over Visitors - USA,No.,"97,532","91,248","94,044","98,078","107,089","112,557","117,450","113,433","108,596","98,685","129,085","122,356","115,065","128,331","142,582","152,738","157,576","168,223","175,073","191,719",n.a.
SAINT LUCIA,Stay-over Visitors – Canada,No.,"14,968","12,213","12,927","13,494","15,315","16,506","17,491","18,640","26,279","28,563","32,154","35,393","37,709","35,985","41,502","38,677","37,772","42,578","40,213","40,872",n.a.
SAINT LUCIA,Stay-over Visitors – Caribbean,No.,"54,595","61,047","66,409","70,543","74,242","84,902","78,465","59,049","59,757","60,179","53,998","58,876","56,066","60,521","55,516","62,745","67,226","76,349","77,548","83,493",n.a.
SAINT LUCIA,Stay-over Visitors – UK,No.,"73,433","67,046","63,277","75,426","81,370","84,725","73,312","79,180","83,693","71,853","67,417","73,059","75,674","70,868","73,960","68,175","64,514","72,580","76,142","81,007",n.a.
SAINT LUCIA,Total Stay-over Visitors,No.,"269,850","250,588","253,463","276,948","298,431","318,697","302,510","287,518","295,761","278,491","305,937","312,404","306,801","318,626","338,158","344,908","347,872","386,127","394,780","423,736",n.a.
SAINT LUCIA,Total Visitor Expenditure - EC$m,EC$M,757.44,629.05,567.02,761.6,881.37,"1,030.49",793.67,"1,446.88","1,253.10","1,140.45","1,526.79","1,581.72","1,602.13","1,768.20","1,975.12","2,074.08","1,981.57","2,261.02","2,431.47","2,696.15",n.a.
SAINT LUCIA,Total Visitors,No.,"742,323","767,493","673,871","704,236","813,681","748,066","695,279","931,685","947,445","1,014,761","1,026,343","994,961","931,222","960,617","1,034,068","1,088,181","1,004,044","1,114,756","1,228,718","1,286,004",n.a.
SAINT LUCIA,Yacht passengers,No.,"16,069","19,817","25,516","21,209","22,530","27,464","26,145","26,163","22,422","31,997","42,750","41,730","42,173","39,646","46,932","56,799","56,268","50,197","63,596","66,546",n.a.
ST. VINCENT AND THE GRENADINES,Cruise Ship Passengers,No.,"86,247","76,494","70,314","64,965","77,585","69,753","106,474","144,555","116,709","149,462","110,954","88,924","77,179","80,185","85,170","82,079","94,151","174,236","217,876","255,225",n.a.
ST. VINCENT AND THE GRENADINES,Excursionists,No.,"21,135","15,049","13,062","13,696","12,936","8,928","9,034","6,797","5,781","5,185","5,086","3,941","3,051","2,663","2,152","1,732","1,340","1,485","1,287","1,273",n.a.
ST. VINCENT AND THE GRENADINES,Number of cruise ship calls,No.,n.a.,n.a.,264,245,225,182,263,279,172,164,131,124,172,212,222,231,261,280,261,253,n.a.
ST. VINCENT AND THE GRENADINES,Stay-over Visitors - Other Countries,No.,"10,859","10,121","8,092","7,097","7,775","8,279","9,236","9,533","9,260","8,285","7,615","7,816","7,695","7,545","7,826","7,192","7,040","7,168","7,141","8,116",n.a.
ST. VINCENT AND THE GRENADINES,Stay-over Visitors - USA,No.,"20,254","19,362","22,410","22,194","25,106","27,153","28,598","26,637","24,042","20,159","21,551","21,164","21,454","20,106","19,838","22,063","23,086","23,320","26,351","29,650",n.a.
ST. VINCENT AND THE GRENADINES,Stay-over Visitors – Canada,No.,"4,685","3,929","5,268","4,918","5,219","6,187","6,542","6,724","6,882","6,820","7,208","6,719","7,424","7,146","7,203","7,515","7,905","8,690","9,822","10,471",n.a.
ST. VINCENT AND THE GRENADINES,Stay-over Visitors – Caribbean,No.,"24,211","26,432","30,223","32,779","36,011","39,944","38,219","29,924","28,475","26,835","23,968","23,272","22,768","21,745","19,886","21,566","24,390","24,924","23,807","24,022",n.a.
ST. VINCENT AND THE GRENADINES,Stay-over Visitors – UK,No.,"12,885","10,842","11,629","11,547","12,610","13,941","14,837","16,714","15,442","13,347","12,136","14,895","15,023","15,183","15,960","17,045","16,974","11,870","12,959","13,037",n.a.
