"Date","Central Government Total Revenue (TT$Mn)","Central Government Current Revenue (TT$Mn)","Central Government Tax Revenue (TT$Mn)","Central Government Taxes on Income and Profits (TT$Mn)","Central Government Taxes on Property (TT$Mn)","Central Government Taxes on Goods and Services (TT$Mn)","Central Government Taxes on International Trade (TT$Mn)","Central Government Tax Revenue - VAT (TT$Mn)","Central Government Non-Tax Revenue (TT$Mn)","Central Government Oil Revenue (TT$Mn)","Central Government Oil Sector - Tax Revenue (TT$Mn)","Central Government Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Oil Revenue (TT$Mn)","Central Government Non-Oil Sector - Tax Revenue (TT$Mn)","Central Government Non-Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Energy Revenue (TT$Mn)","Central Government Energy Sector - Tax Revenue (TT$Mn)","Central Government Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Energy Revenue (TT$Mn)","Central Government Non-Energy Sector - Tax Revenue(TT$Mn)","Central Government Non-Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Capital Revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Central Government Current Expenditure (TT$Mn)","Central Government Expenditure on Wages and Salaries (TT$Mn)","Central Government Expenditure on Goods & Services (TT$Mn)","Central Government Expenditure on Transfers and Subsidies (TT$Mn)","Central Government Expenditure on Subsidies (TT$Mn)","Central Government Transfers Abroad (TT$Mn)","Central Government Transfers to Non-Profit Insitutions (TT$Mn)","Central Government Transfers to Educational Insitutions (TT$Mn)","Central Government Transfers to Households (TT$Mn)","Central Government Transfers to State Enterprises (TT$Mn)","Central Government Transfers to Statutory Boards and Similar Bodies (TT$Mn)","Central Government Expenditure on Interest Payments (TT$Mn)","Central Government Capital Expenditure and Net Lending (TT$Mn)","Current Account Surplus(+) / Deficit (-) (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Primary Balance (TT$Mn)","Central Gov't Overall Fiscal Balance (TT$Mn)","Average Discount Rate - High (%)","Average Discount Rate - Low (%)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Nov-2016","1843.9","1761.1","1465.4","504.9","0.2","685.5","274.9","544.5","295.7","34.3","21","13.3","1726.8","1444.4","282.9","34.9","21.5","13.3","1809","1443.9","282.9","82.2","4668","4546","799","502.1","2887","23.3","13.6","16.9","116.3","725.2","263.9","1056.7","357.9","121.9","-2784.4","-2858.9","-2466.2","-2824.6","5.11","4.93"
"Oct-2016","2523.4","2023.4","1448.1","642.3","0.2","521","284.7","376.9","575.3","499.1","33.1","466","1524.3","1415","109.3","530","64","466","1993.4","1384.1","109.3","500","2789.7","2747","738.6","171.5","1705","20.9","0.6","11.4","111.1","638.5","50","515.7","131.9","42.7","-723.6","-796.2","-134.4","-266.3","5.11","4.93"
"Sep-2016","6538.1","5416","5161.9","3382.8","0.7","1426.5","351.8","1222.4","254.2","635.2","555.5","79.7","4780.8","4606.3","2833.5","1459.8","1380.1","79.7","5078.3","3781.8","2833.5","112.1","7644.1","6053.3","1003","1348.6","2693.6","-18.8","188.8","22","141.1","1254.9","187.4","598.9","1008","1590.8","2021.8","-2565.8","-97.9","-3765","5.11","4.93"
"Aug-2016","4400.8","1800.4","1666.8","673.1","0.2","754","239.5","611.7","133.7","74.4","37.3","37.1","1726.1","1629.5","96.5","75.5","38.4","37.1","4325.3","1628.4","96.5","2600.3","3757.8","3398.1","815.8","677.3","1707","28.2","14.8","34.7","115.3","578","191.9","360.9","198","359.7","-1597.7","567.5","841","642.9","4.93","4.93"
"Jul-2016","3761.8","2071.8","1877","1010","0.3","656.9","209.9","495.6","194.8","143.6","58.9","84.7","1928.2","1818.2","110","324.1","239.3","84.7","3437.8","1637.7","110","41","5016.9","4490.6","805.5","759.4","2587.8","52.3","8","11.7","157.6","677.7","119.8","543.6","337.8","526.3","-2418.8","-1579.2","-917.3","-1255.1","5.11","4.93"
"Jun-2016","3955.9","3955.4","2735.8","2016.4","0.2","507.9","211.3","356.7","1219.6","727.3","218.1","509.1","3221.7","2517.7","704","1090.1","581","509.1","2865.8","2154.8","704","0.5","4708.1","4407.9","1064.5","639.8","2503.5","52.7","5.9","22.9","133.8","1206.3","195.6","504.2","200.1","300.1","-452.5","-1842.2","-552","-752.1","4.93","4.93"
"May-2016","2864.7","2766.8","1853.5","1084.4","0.2","543.1","225.8","374.2","913.3","770.1","218.9","551.1","1996.7","1634.5","362.2","894.3","343.1","551.1","1970.4","1510.3","362.2","97.9","3586.9","3413","734.6","449.2","1873","53.3","9.2","13.1","134.4","396.9","126.8","626.5","356.2","173.8","-646.3","-1616.4","-366","-722.2","5.11","4.93"
"Apr-2016","2830.6","2830.3","1846.2","1088.8","0.2","534","223.1","333.7","984.1","162.2","52.5","109.7","2663.8","1793.7","870.1","266.6","156.9","109.7","2564.1","1689.4","870.1","0.3","4430.9","4184.7","719.8","840.7","2376.6","24.7","14.4","25.2","140.6","915.8","283.5","499.9","247.5","246.2","-1354.4","-1866.9","-1352.8","-1600.3","4.93","4.93"
"Mar-2016","3671.4","3671.4","3097.5","2470.7","0.2","414.2","212.4","251","573.8","201.1","200.1","1","3470.2","2897.4","572.8","719.3","718.3","1","2952.1","2379.3","572.8","0","3906","3664.5","733","502.6","2054.6","18.4","8","27.5","160.4","785.3","161","484.2","374.2","241.6","6.9","-953.9","139.6","-234.6","5.11","4.93"
"Feb-2016","2703.2","2703.2","1596.5","583.6","0.3","815.4","197.3","670.6","1106.7","135.1","44.8","90.4","2562.1","1551.8","1010.3","138.8","48.4","90.4","2564.5","1548.1","1010.3","0","3852.5","3753.2","719.2","486.6","2363","24.4","9","23.2","145.6","1099","184.5","395.9","184.4","99.3","-1050","-1288","-964.9","-1149.3","4.93","4.93"
