"Date","Commercial Banks Average Excess Reserves (TT$Mn)","Central Government Net Domestic Fiscal Injections (TT$Mn)","Net Open Market Operations (TT$Mn)","Commercial Bank Required Reserves (TT Millions)","Commercial Bank Cash Reserves (TT Millions)","Commercial Bank Excess Reserves-End of Period (TT Millions)","Prescribed Deposits Liabilities (Adj.) (TT Millions)","Commercial Banks' Deposits - Secondary Reserve Requirements, Fixed Deposits & Special Deposits (TT Millions)","Commercial Banks' Treasury Bills (TT Millions)","Commercial Banks Local Cash in Hand (TT Millions)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","9713.1","1083.1","0","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Sep-2004","n.d","n.d","n.d","1915.7","1988.7","73.0","17415.4","576.3","1455.7","470.1"
"Aug-2004","n.d","n.d","n.d","2368.9","2365.5","-3.4","21535.5","529.0","1023.1","347.1"
"Jul-2004","n.d","n.d","n.d","2366.6","2426.0","59.3","21514.5","584.0","627.2","369.7"
"Jun-2004","n.d","n.d","n.d","2407.3","2415.5","8.2","21884.5","427.6","814.1","396.8"
"May-2004","n.d","n.d","n.d","2359.0","2391.4","32.4","16850.0","223.9","1159.5","274.8"
"Apr-2004","n.d","n.d","n.d","2372.3","2378.3","6.0","16945.0","242.9","1026.6","279.7"
"Mar-2004","n.d","n.d","n.d","2323.8","2326.7","2.9","16598.6","534.0","956.0","355.7"
"Feb-2004","n.d","n.d","n.d","2298.8","2317.5","18.7","16420.0","205.6","1226.1","362.0"
"Jan-2004","n.d","n.d","n.d","2352.8","2361.6","8.8","16805.7","381.7","1387.6","334.7"
"Dec-2003","n.d","n.d","n.d","2327.5","2333.8","6.3","16625.0","621.5","1135.6","586.1"
"Nov-2003","n.d","n.d","n.d","2243.3","2245.3","2.0","16023.6","729.9","1402.7","391.3"
"Oct-2003","n.d","n.d","n.d","2248.4","2250.6","2.2","16060.0","1029.5","1325.9","317.1"
"Sep-2003","n.d","n.d","n.d","2870.6","2648.3","-222.3","20504.3","1086.2","1191.2","350.1"
"Aug-2003","n.d","n.d","n.d","2836.4","2844.4","9.1","20260.0","529.5","1450.9","300.2"
"Jul-2003","n.d","n.d","n.d","2733.5","2758.8","25.3","15186.1","569.8","915.1","313.1"
"Jun-2003","n.d","n.d","n.d","2707.1","2691.9","-15.2","15039.4","1048.1","1024.8","323.6"
"May-2003","n.d","n.d","n.d","2685.3","2693.5","8.2","14918.3","437.1","1484.9","309.8"
"Apr-2003","n.d","n.d","n.d","2709.4","2810.4","101.0","15052.2","151.2","1413.0","342.6"
"Mar-2003","n.d","n.d","n.d","2740.1","2742.7","2.6","15222.8","526.5","1730.3","306.5"
"Feb-2003","n.d","n.d","n.d","2797.3","2792.5","-4.8","15540.6","709.8","1501.7","279.0"
"Jan-2003","n.d","n.d","n.d","2797.3","2805.4","4.8","15540.6","296.9","1616.4","275.0"
"Dec-2002","n.d","n.d","n.d","2763.8","2790.4","26.6","15354.4","281.3","1418.5","502.8"
"Nov-2002","n.d","n.d","n.d","2732.6","2730.2","-2.5","15181.1","376.4","1110.6","259.2"
"Oct-2002","n.d","n.d","n.d","2736.9","2737.1","0.2","15221.7","308.1","877.2","333.1"
"Sep-2002","n.d","n.d","n.d","2738.7","2426.0","-312.7","15215.0","491.9","536.4","285.8"
"Aug-2002","n.d","n.d","n.d","2670.9","2676.0","5.1","14838.3","457.6","940.1","281.7"
