"Date","Central Government Debt Management Bills Issuances (TT$Mn)","Central Government Debt Management Bills Repayments (TT$Mn)","Central Government Debt Management Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Bill Issuances (TT$Mn)","Central Government Open Market Treasury Bill Repayments (TT$Mn)","Central Government Open Market Treasury Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Note Issuances (TT$Mn)","Central Government Open Market Treasury Note Repayments (TT$Mn)","Central Government Open Market Treasury Notes Outstanding (TT$Mn)","Central Government Liquidity Absorption Bonds Issuances (TT$Mn)","Central Government Liquidity Absorption Bonds Repayments (TT$Mn)","Central Government Liquidity Absorption Bonds Outstanding (TT$Mn)","Central Government Total Sterilized Debt Outstanding (TT$Mn)","Central Government CLICO and HCU Zero-Coupon Bonds Allocations (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Conversions and Redemptions (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Outstanding (TT$M)","Central Government Domestic Bond Issues (TT$Mn)","Central Government Domestic Bond Repayments (TT$Mn)","Central Government Domestic Bonds Outstanding (TT$M)","Central Government Domestic Debt Outstanding (TT$Mn)","Central Government External Debt Outstanding (TT$Mn)","Central Government Total Debt Outstanding (TT$Mn)","Central Government External Debt Disbursements (US$Mn)","Central Government External Debt Amortization (US$Mn)","Central Government External Debt Interest Payments (US$Mn)","Central Government External Debt Service (US$Mn)","Central Government External Debt Outstanding (US$Mn)","Central Government External Bilateral Debt Outstanding (US$Mn)","Central Government External Multilateral Debt Outstanding (US$Mn)","Central Government External Commercial Debt Outstanding (US$Mn)","Central Government External Bonds Outstanding (US$Mn)","Guaranteed State-Owned Enterprise Debt Outstanding (TT$Mn)","Guaranteed Statutory Authorities Debt Outstanding (TT$Mn)","Contingent Liabilities Outstanding (TT$Mn)","Gross Public Sector Debt Outstanding (TT$Mn)","Net Public Sector Debt Outstanding (TT$Mn)","Central Government Domestic Debt to GDP Ratio (%)","Central Government External Debt to GDP Ratio (%)","Central Government Total Debt to GDP Ratio (%)","Contingent Liabilities Debt to GDP Ratio (%)","Gross Public Sector Debt to GDP Ratio (%)","Net Public Sector Debt to GDP Ratio (%)","Central Government External Debt Service Ratio (%)","3 Month Treasury Bill: Average Discount Rate – End of Period (%)"
"2009","2550","2550","800","14499.8","14949.8","13740","1558.8","1558.8","5000","0","0","4748.2","23488.2","0","0","0","3430.6","270.9","13953.6","34609.9","8924","43533.9","175.6","339.8","94.5","434.4","1369.3","122.7","437.4","309.2","500","n.d","n.d","n.d","n.d","n.d","28.9","7.4","36.3","n.d","n.d","n.d","4.3","1.36"
"2008","2550","2550","800","16733.2","14919.7","14240","4350","858","5000","1200","0","4748.2","23988.2","0","0","0","1200","347.5","11238.7","32447.2","9244.4","41691.6","184.5","66.2","118","184.3","1535.4","103","468.8","186.9","776.7","n.d","n.d","n.d","n.d","n.d","18.5","5.3","23.8","n.d","n.d","n.d","0.9","6.94"
"2007","2550","2550","800","18528.3","10858.5","12426.5","1200","1931","1408","1692.2","0","3548.2","17382.7","0","0","0","1692.2","297.2","11722.7","27614.6","8563.9","36178.5","144.7","62","89.3","151.3","1417.4","70.6","485.7","84.3","776.7","n.d","n.d","n.d","n.d","n.d","20.3","6.3","26.5","n.d","n.d","n.d","1.1","7"
"2006","2550","2550","800","9291.7","8370.4","4756.7","2692","1877","2298","700","0","1856","8910.7","0","0","0","700","301.9","9754.6","18954.3","7627.7","26582","209","247.4","103.8","351.2","1302.3","32.4","484","9.2","776.7","n.d","n.d","n.d","n.d","n.d","16.8","6.6","23.4","n.d","n.d","n.d","2.4","6.74"
"2005","2550","2550","800","5320.4","3903","3835.4","2243","2449","2593","0","0","1156","7584.4","0","0","0","800","844.6","9387","17992.3","8030.7","26023","66.7","92.3","93.6","185.9","1356.5","3.6","554.9","10","788","n.d","n.d","n.d","n.d","n.d","17.9","8","25.9","n.d","n.d","n.d","1.7","4.95"
"2004","2550","2550","800","4275","2700","2410","2179","1219.7","2599","0","0","0","5009","0","0","0","1116","1006.7","9368.1","16729.5","8163.9","24893.4","40.3","226.1","109.9","336","1382.1","18.3","594.5","2.1","767.2","n.d","n.d","n.d","n.d","n.d","20","9.8","29.7","n.d","n.d","n.d","4.5","4.7"
"2003","2550","2550","800","2270","2170","835","1479","647","1639.7","0","0","0","2474.7","0","0","0","2040","2228.9","9814.3","14740.4","9332.9","24073.3","86.6","89.7","116.7","206.4","1567.6","23.7","628.7","2.1","913.1","n.d","n.d","n.d","n.d","n.d","21.2","14.5","35.7","n.d","n.d","n.d","3.5","4.76"
"2002","2550","2550","800","1812","1979.6","735","457.7","467","807.7","0","0","0","1542.7","0","0","0","1100","324.5","9332.4","12934.6","9381","22315.6","42.6","68.6","129.7","198.3","1549","31.1","587.5","1.8","928.6","n.d","n.d","n.d","n.d","n.d","23","17.4","40.4","n.d","n.d","n.d","4.4","4.52"
"2001","2550","2550","800","1985.6","1233","1199.6","497","497","817","0","0","0","2016.6","0","0","0","1376","1160.5","8606.2","12760.7","9542.5","22303.2","52.5","61.1","121.4","182.5","1667.6","36.1","614.8","93.6","923.1","n.d","n.d","n.d","n.d","n.d","23.9","19.4","43.3","n.d","n.d","n.d","3.7","6.49"
"2000","2550","2550","800","1608.2","1992.5","150","817","0","817","0","0","0","967","0","0","0","1195.2","1044.8","8390.7","11530.4","9385.1","20915.5","401.9","270.3","107.8","378.1","1680.4","44","618.7","102.2","915.5","n.d","n.d","n.d","n.d","n.d","24.1","21.5","45.6","n.d","n.d","n.d","7.8","10.78"
