"Date","Commercial Banks & NFIs – Credit to the Private Sector (TT$Mn)","Currency in Active Circulation (TT$Mn)","Commercial Bank Reserves with Central Bank (TT$Mn)","Demand Deposits (Adj.) (TT$Mn)","Saving Deposits (Adj.) (TT$Mn)","Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Demand Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Savings Deposits (Adj.) (TT$Mn)","NFIs - Foreign Currency Deposits (Adj.) (TT$Mn)","Banking System: Net Domestic Credit (TT$Mn)","Loans and Advances to Central Government (TT$Mn)","Banking System: Credit to the Private Sector (TT$Mn)","Base Money M-0 (TT$Mn)","Narrow Money M-1A (TT$Mn)","Money Supply M-1C (TT$Mn)","Money Supply M-2 (TT$Mn)","Money Supply M-2* (TT$Mn)","Money Supply M-3 (TT$Mn)","Money Supply M-3* (TT$Mn)","Quasi Money (TT$Mn)","Commercial Banks & NFIs - Total Deposits Outstanding (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Unincorporated Businesses (TT$Mn)","Banking System Investments (TT$Mn)","Commercial Banks & NFIs - Total Investment (Net) - TT$Mn","Commercial Banks & NFIs - Reserves (TT$Mn)","Commercial Banks & NFIs - Share Capital (TT$Mn)","Commercial Banks & NFIs - Total Loans Outstanding (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Loans (Net) (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Unincorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Other Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Real Estate Mortgage Loans (TT$Mn)"
"Sep-2013","49080.10","5742.3","27075.8","34017.3","26964.2","9747.0","22238.7","4643.6","7717.4","11248.6","623.5","23618.6","-30220.8","45318.5","32818.1","39759.6","66723.8","76470.8","98709.5","77969.9","100832.0","36711.2","97069.8","45697.9","20626","4512","7550","14580.3","4103.5","35591.7","30323.9","1073.2","21583.9","55909.4","23548.7","23301.7","4055.3","54651.1","606.7","2692.5","1704.4","13742.9","136064","17529.1"
"Aug-2013","48631.00","5721.4","25657.2","29709.3","26714.7","9812.7","22649.5","4672.1","8267.7","11243.0","488.1","27085.9","-26664.5","45170.9","31378.6","35430.7","62145.4","71958.1","94607.6","73463.3","96601.0","36527.4","94112.5","45381.3","19024","3991.3","7117.4","15121.1","3477.3","35552","29884.7","988.4","21190.4","56114.3","23640.9","23444.1","4048.8","54836.5","417.3","3021.4","1541.9","15206.6","134145","14289.7"
"Jul-2013","48700.50","5596.2","24630.2","30080.9","26476.9","10775.2","22956.6","4505.1","8898.0","11113.2","491.5","25818.9","-27738.5","44957.1","30226.5","35677.1","62154.0","72929.2","95885.8","74259.0","97707.0","37252.1","95009.3","45267.6","19800","4203","7431.2","14992.1","3315.4","35062","29775.1","1148.6","20963.5","55556.3","23345.6","23095.2","4061.7","54283.9","732.4","2875.7","1445.8","12866.7","132342","14117.3"
"Jun-2013","48298.80","5593.8","25404.8","30231.7","26556.0","10814.2","22841.6","4530.4","9254.5","11035.3","439.1","23460","-29587","44792.4","30998.5","35825.4","62381.4","73195.6","96037.2","74544.1","97824.8","37370.1","95505.6","45455.5","19874.6","4699.7","7268.8","14779.3","3427.6","34942.3","30419","948.4","20870.1","54808","23172.1","22917","3945.6","53529.6","708.7","2610.9","1453.7","13921.5","134167","17034"
"May-2013","48569.60","5553.3","24250.2","29138.4","26087.2","10974.2","23199.1","4496.8","9171.4","11180.2","464.1","34006.8","-18733.1","44882.3","29803.5","34691.7","60778.8","71753.1","94952.1","73097.4","96760.6","37061.4","94351.1","44920.5","19737.1","4291.1","7772.8","14382.4","3247.2","34838","30276.9","1198.7","20735.9","54489.3","23065.4","23152.5","3585.7","53076.8","734","2508","1443.9","12589","131449","13883.8"
"Apr-2013","48223.10","5390.7","24291.9","29083.9","25614.9","10511.7","23451.7","4497.0","9460.2","11179.2","463.5","35785.8","-16430.5","44303.9","29682.6","34474.6","60089.5","70601.2","94052.9","71957.8","95873.0","36126.7","93743.3","44440.3","18676.1","4344.4","7985.9","14993.8","3302.7","35137","30214.9","1121.1","20780.5","53972.2","22788.4","23142.7","3569.7","52567","421","2590.5","1460.1","12200.3","130272","13647.9"
"Mar-2013","48036.90","5490.9","24238.5","29350.6","25606.3","10713.1","23548.4","4423.1","9888.3","10888.4","240.6","35078.9","-17528.4","44275.8","29729.4","34841.5","60447.7","71160.9","94709.3","72484.3","96273.2","36319.4","95210.3","44376.2","19533","4878.4","7596.2","15420.8","3405.6","35398.9","29968.5","1111.9","20848.4","54372.9","22781.5","23199","3779","52897.8","394.1","2771.5","1447.8","13289.3","132235","16639.1"
"Feb-2013","47703.20","5284.5","23711.6","28756.4","25258.3","11199.6","23871.4","4704.2","9930.3","10498.2","258.8","34390.4","-17673.9","44256.4","28996.1","34040.9","59299.2","70498.9","94370.3","71809.6","95939.8","36457.9","93133.6","43856.9","18786.2","4438.9","7523.3","15104.9","3423.5","34663.5","29922","1117.2","20899.2","53764.1","22572.9","22998.1","3531.5","52258.4","717.9","2474.1","1469.6","13326.7","130809","13946.2"
"Jan-2013","47799.10","5222.8","23172.9","28956.8","24867.9","11065.8","23656.6","4671.6","9757.5","10621.2","265.1","38328.4","-13721.8","44369.6","28395.7","34179.6","59047.5","70113.3","93769.8","71424.0","95345.8","35933.7","92982.3","43575.4","18459.3","4399.1","7518.2","15419","3611.3","34777.3","30872.3","1190","20892.8","53896","22569.5","22997.7","3475.6","52421.1","899.8","2454.4","1499.2","12205","129596","13671.2"
"Dec-2012","48100.40","5395.5","22145.0","30285.4","24748.5","10391.9","23458.0","4651.4","9349.9","10564.2","322.6","37622.4","-14080.6","44208.8","27540.5","35680.9","60429.3","70821.2","94279.2","72121.1","95901.7","35140.3","92154","43357.6","18484","4981.1","7395.3","14642.6","3293.5","35786.3","31186.1","1545.8","20701","53577","22444.3","23351.3","3397.5","52110.3","724.2","2136.3","1523.5","12880.1","129638","16696.2"
