"Date","Central Government Debt Management Bills Issuances (TT$Mn)","Central Government Debt Management Bills Repayments (TT$Mn)","Central Government Debt Management Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Bill Issuances (TT$Mn)","Central Government Open Market Treasury Bill Repayments (TT$Mn)","Central Government Open Market Treasury Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Note Issuances (TT$Mn)","Central Government Open Market Treasury Note Repayments (TT$Mn)","Central Government Open Market Treasury Notes Outstanding (TT$Mn)","Liquidity Absorption Bonds Issuances (TT$M)","Liquidity Absorption Bonds Repayments (TT$M)","Liquidity Absorption Bonds Outstanding (TT$M)","Total Sterilized Debt Outstanding (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Allocations (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Conversions and Redemptions (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Outstanding (TT$M)","Central Government Domestic Bond Issues (TT$Mn)","Central Government Domestic Bond Repayments (TT$Mn)","Central Government Domestic Bonds Outstanding (TT$M)","Central Government Domestic Debt Outstanding (TT$Mn)","Central Government External Debt Outstanding (TT$Mn)","Central Government Total Debt Outstanding (TT$Mn)","Central Government External Debt Disbursements (US$Mn)","Central Government External Debt Amortization (US$Mn)","Central Government External Debt Interest Payments (US$Mn)","Central Government External Debt Service (US$Mn)","Central Government External Debt Outstanding (US$Mn)","Central Government External Bilateral Debt Outstanding (US$Mn)","Central Government External Multilateral Debt Outstanding (US$Mn)","Central Government External Commercial Debt Outstanding (US$Mn)","Central Government External Bonds Outstanding (US$Mn)","Guaranteed State-Owned Enterprise Debt Outstanding (TT$Mn)","Guaranteed Statutory Authorities Debt Outstanding (TT$Mn)","Contingent Liabilities Outstanding (TT$Mn)","Gross Public Sector Debt Outstanding (TT$Mn)","Net Public Sector Debt Outstanding (TT$Mn)","Central Government Domestic Debt to GDP Ratio (%)","Central Government External Debt to GDP Ratio (%)","Central Government Total Debt to GDP Ratio (%)","Contingent Liabilities Debt to GDP Ratio (%)","Gross Public Sector Debt to GDP Ratio (%)","Net Public Sector Debt to GDP Ratio (%)","Central Government External Debt Service Ratio (%)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Sep-2013","625","625","800","8367.2","8367.2","14200","52.5","50","5000","559.3","0","5633.2","24833.2","16.5","98","5244.2","1500","491.2","26413.9","53623.1","10451.2","64074.3","94.8","27","4.9","31.9","1537.9","221.6","662.5","153.8","500","17622.7","10485.1","28107.8","90929.3","66096.1","31","5.3","36.3","16.2","52.5","38.2","0.7"
"Jun-2013","650","650","800","5086.6","5086.6","14200","267","269.5","4997.5","1000","0","5073.9","24271.4","180.9","72.7","5325.7","0","80.1","26162.9","52915.9","10354","63269.8","10.7","15.6","24.9","40.4","1470","154.3","675","140.7","500","18348.3","10479.8","28828.1","91006.8","66735.4","30.6","5.3","35.9","16.6","52.6","38.5","0.9"
"Mar-2013","625","625","800","4845.7","4585.6","14200","915.8","915.8","5000","0","0","4073.9","23273.9","0","275","5217.6","0","41.3","26243","51905.1","9928.2","61833.3","5","63.2","4.8","68","1474.9","153.2","678.7","143","500","18330.2","10128.9","28459.2","89711.1","66437.2","30","5.4","35.4","16.4","51.8","38.4","1.4"
"Dec-2012","650","650","800","6305","6295.1","13939.9","100","100","5000","0","0","4073.9","23013.8","883","3681","5492.6","5100","80.1","26284.1","51984.1","11149.3","63133.6","4.8","21.8","25.2","47","1534.8","157.4","699.8","177.6","500","17464.9","9773.9","27238.9","89904.3","66890.4","30","6.2","36.2","15.7","51.9","38.6","1"
"Sep-2012","625","625","800","7768.8","7740.2","13930","1070.8","1070.8","5000","0","674.3","4073.9","23003.9","590.4","0","8290.6","2500","467.7","21254.2","49756.7","11133.4","60900.2","3.7","37.1","6.3","43.4","1720.5","157.9","700.5","362","500","17092.4","10495.9","27588.3","87928.4","64924.4","30.2","6.4","36.6","16.7","53.3","39.4","1"
"Jun-2012","650","650","800","8349.9","8648.5","13901.4","500","500","5000","0","0","4748.2","23649.6","2355.6","0","7700.2","0","85.1","18912.1","47140.9","11348.9","58489.8","55.3","17.6","25","42.6","1753.9","161.9","721.3","370.8","500","17114","10796.1","27910.1","86151.6","62502.2","28.6","6.7","35.3","16.9","52.2","37.9","1"
"Mar-2012","625","625","800","4848.2","4848.2","14200","0","0","5000","0","0","4748.2","23948.2","5344.6","0","5344.6","0","45.8","18997.1","45182.3","11100.2","56282.5","0.5","38","6.4","44.4","1716.7","161.7","703.4","351.6","500","17204.1","10945.2","28149.3","84183.5","60235.5","27.4","6.6","34","17.1","51","36.5","1"
"Dec-2011","650","650","800","4126.2","4126.2","14200","183","183","5000","0","0","4748.2","23948.2","0","0","0","1500","85.1","19042.9","39904.8","11328.5","51233.3","238.7","17.9","23.8","41.7","1752.1","165.9","725.9","360.4","500","17103","11010.2","28113.2","79048.2","55150.2","24.2","6.7","30.9","17","47.9","33.4","0.9"
"Sep-2011","625","625","800","4490.9","4434.7","14200","405","455","5000","0","0","4748.2","23948.2","0","0","0","0","45.8","17628","38502.5","9711.1","48213.6","4.5","38.9","6.8","45.7","1531.3","166.3","493.1","371.9","500","13968.4","11180.7","25149.1","73064.4","49166.4","24.4","6","30.4","16","46.4","31.2","1"
"Jun-2011","650","650","800","6619.4","5868.9","14143.8","1775.5","1775.5","5000","0","0","4748.2","23892","0","0","0","0","85.1","17678.1","38520.6","9951.2","48471.8","66.4","15.1","23.6","38.7","1565.8","166.6","517.9","381.2","500","11061.7","11329.8","22391.5","70616","46724.2","24.4","6.2","30.6","14.2","44.8","29.7","0.8"
